Title,URL,Deadline,Call For,Opportunity Status,Estimated Funding,Source,Year
National Institute of General Medical Sciences Predoctoral Basic Biomedical Sciences Research Training Program (T32),https://www.grants.gov/search-results-detail/350485,2026-09-25,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Mentored Research Scientist Development Award (Parent K01 - Independent Clinical Trial Required),https://www.grants.gov/search-results-detail/353749,2027-05-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/357308,2028-01-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2028
Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional),https://www.grants.gov/search-results-detail/357941,2027-08-11,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
Substance Use/Substance Use Disorder Dissertation Research Award (R36 Clinical Trials Not Allowed),https://www.grants.gov/search-results-detail/357974,2026-09-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Innovations for Healthy Living - Improving Minority Health and Eliminating Health Disparities (R43/R44 - Clinical Trial Optional),https://www.grants.gov/search-results-detail/352882,2026-12-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Technologies for Improving Minority Health and Eliminating Health Disparities (R41/R42- Clinical Trial Optional),https://www.grants.gov/search-results-detail/352883,2026-12-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/357254,2025-10-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"DOD Ovarian Cancer, Investigator-Initiated Research Award",https://www.grants.gov/search-results-detail/358735,2025-09-11,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"DOD Ovarian Cancer, Pilot Award",https://www.grants.gov/search-results-detail/358734,2025-09-11,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"DOD Ovarian Cancer, Clinical Trial Academy &ndash; Early-Career Investigator Award",https://www.grants.gov/search-results-detail/358736,2025-09-11,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Institutional Training Programs to Advance Translational Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (T32 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/357710,2026-09-25,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Developing Country Collaborations in Plant Genome Research (DCC-PGR),https://www.grants.gov/search-results-detail/45657,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Sociology,https://www.grants.gov/search-results-detail/45810,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Linguistics,https://www.grants.gov/search-results-detail/45812,2025-07-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 Clinical Trials Not Allowed),https://www.grants.gov/search-results-detail/358552,2027-04-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional),https://www.grants.gov/search-results-detail/357713,2027-05-08,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
FY25 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology,https://www.grants.gov/search-results-detail/356605,2025-09-30,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI),https://www.grants.gov/search-results-detail/358533,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) Department of Defense Army,https://www.grants.gov/search-results-detail/358532,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
BRAIN Initiative: Promoting Health for All Through BRAIN Technology Partnerships (R34 - Clinical Trials Not Allowed),https://www.grants.gov/search-results-detail/357328,2026-06-17,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
"FY 2024 &ndash; 2026 Broad Agency Announcement (BAA), National Marine Fisheries Service",https://www.grants.gov/search-results-detail/355706,2026-09-30,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Limited Competition: High Impact Specialized Innovation Programs in Clinical and Translational Science  (RC2 Clinical Trials Optional),https://www.grants.gov/search-results-detail/357634,2026-09-28,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Physical Oceanography,https://www.grants.gov/search-results-detail/275148,2025-08-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Chemical Oceanography,https://www.grants.gov/search-results-detail/275150,2025-08-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"Mind, Machine and Motor Nexus",https://www.grants.gov/search-results-detail/358682,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Education and Broadening Participation in Earth Sciences,https://www.grants.gov/search-results-detail/358683,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
The Research on Research Security Program,https://www.grants.gov/search-results-detail/358684,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Cyberinfrastructure for Sustained Scientific Innovation,https://www.grants.gov/search-results-detail/358751,2025-12-01,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Expeditions in Computing,https://www.grants.gov/search-results-detail/324456,2025-07-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Accountable Institutions and Behavior,https://www.grants.gov/search-results-detail/320098,2025-08-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Science of Learning and Augmented Intelligence (SL),https://www.grants.gov/search-results-detail/320753,2025-08-06,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Security and Preparedness,https://www.grants.gov/search-results-detail/320087,2025-08-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
NSF Dynamic Language Infrastructure - NEH Documenting Endangered Languages,https://www.grants.gov/search-results-detail/342475,2025-09-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Dynamic Language Infrastructure-Doctoral Dissertation Research Improvement Grants,https://www.grants.gov/search-results-detail/342476,2025-09-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Faculty Early Career Development Program,https://www.grants.gov/search-results-detail/339594,2025-07-23,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Biological Oceanography,https://www.grants.gov/search-results-detail/344858,2025-08-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Social Psychology,https://www.grants.gov/search-results-detail/344634,2025-07-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Infrastructure Systems and People,https://www.grants.gov/search-results-detail/358397,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Facilitating Research at Predominantly Undergraduate Institutions:,https://www.grants.gov/search-results-detail/358403,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
CyberCorps(R) Scholarship for Service,https://www.grants.gov/search-results-detail/347330,2025-07-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Partnerships for Research Innovation in the Mathematical Sciences,https://www.grants.gov/search-results-detail/351482,2025-08-20,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Fire Science Innovations through Research and Education,https://www.grants.gov/search-results-detail/358568,2025-06-20,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Mathematical Foundations of Digital Twins,https://www.grants.gov/search-results-detail/353134,2026-03-16,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
IUSE/Professional Formation of Engineers:  Revolutionizing Engineering Departments,https://www.grants.gov/search-results-detail/353413,2025-09-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
NSF Small Business Innovation Research / Small Business Technology Transfer Phase I Programs,https://www.grants.gov/search-results-detail/354632,2025-07-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
NSF Small Business Innovation Research  / Small Business Technology Transfer Phase II Programs,https://www.grants.gov/search-results-detail/354633,2025-07-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
UNITED STATES MILITARY ACADEMY Broad Agency Announcement,https://www.grants.gov/search-results-detail/325932,2027-03-31,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research,https://www.grants.gov/search-results-detail/352741,2025-05-31,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/357568,2028-01-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2028
"Ethical, Legal and Social Implications (ELSI) Small Research Grant (R03 Clinical Trial Optional)",https://www.grants.gov/search-results-detail/358179,2026-11-16,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
"Screening, Brief Intervention and Referral to Treatment or Prevention (SBIRT/P) for alcohol, tobacco, and other drugs (ATOD) use and misuse in adult populations that experience health disparities (R01, Clinical Trial Required)",https://www.grants.gov/search-results-detail/357288,2027-05-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
"Interventions to expand cancer screening and preventive services to ADVANCE health in populations that experience health disparities (R01, Clinical Trial Required)",https://www.grants.gov/search-results-detail/356690,2027-01-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
NIDCD's Mentored Research Education Pathway for Otolaryngology Residents and Medical Students (R25 - Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/352282,2026-09-29,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Research Infrastructure Development for Interdisciplinary Aging Studies (R61/R33 - Clinical Trial Optional),https://www.grants.gov/search-results-detail/357031,2025-12-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Air Delivered Effects,https://www.grants.gov/search-results-detail/338821,2027-03-21,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional),https://www.grants.gov/search-results-detail/357184,2026-05-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional),https://www.grants.gov/search-results-detail/357185,2026-05-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
ROSES 2024: E.12 Physical Sciences Research Studies,https://www.grants.gov/search-results-detail/357834,2025-06-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
ROSES 2024: E.9 Space Biology: Research Studies,https://www.grants.gov/search-results-detail/357835,2025-06-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
BRAIN Initiative: New Technologies and Novel Approaches for Recording and Modulation in the Nervous System (R01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/356511,2026-01-20,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Omics Phenotypes Related to Down Syndrome for the INCLUDE Project (X01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/351318,2026-03-13,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Medical Scientist Training Program (MSTP) (T32),https://www.grants.gov/search-results-detail/352810,2027-01-25,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
NLM Information Resource Grants to Reduce Health Disparities and Promote Health for All (G08 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/356250,2026-05-25,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
"PHS 2024-2 Omnibus Solicitation of the NIH, CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed)",https://www.grants.gov/search-results-detail/355265,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
PHS 2024-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/355259,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
PHS 2024-2 Omnibus Solicitation of the NIH and CDC for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Required),https://www.grants.gov/search-results-detail/355264,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
PHS 2024-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Required),https://www.grants.gov/search-results-detail/355260,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"Ethical, Legal and Social Implications (ELSI) Research (R01 Clinical Trial Optional)",https://www.grants.gov/search-results-detail/358181,2026-11-18,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Cancer Center Support Grants (CCSGs) for NCI-designated Cancer Centers (P30 Clinical Trial Optional),https://www.grants.gov/search-results-detail/336070,2026-01-07,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Research Experiences and/or Mentoring Networks through Research Education to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/356620,2027-09-29,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
"Ethical, Legal and Social Implications (ELSI) Exploratory/Developmental Research Grant (R21 Clinical Trial Optional)",https://www.grants.gov/search-results-detail/358176,2026-11-18,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
"SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1, Clinical Trial Not Allowed)",https://www.grants.gov/search-results-detail/349231,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1 Clinical Trial Required),https://www.grants.gov/search-results-detail/349235,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"Perception, Action &amp; Cognition",https://www.grants.gov/search-results-detail/45817,2025-08-01,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Ocean Technology and Interdisciplinary Coordination,https://www.grants.gov/search-results-detail/45793,2026-02-16,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Incorporating Human Behavior in Epidemiological Models,https://www.grants.gov/search-results-detail/358688,2025-07-14,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Climate Program Office for FY 2012,https://www.grants.gov/search-results-detail/103313,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Science of Organizations,https://www.grants.gov/search-results-detail/112354,2025-09-03,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"NSF-NIST Interaction in Basic and Applied Scientific Research in BIO, ENG &amp; MPS",https://www.grants.gov/search-results-detail/107113,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Research Techs,https://www.grants.gov/search-results-detail/113333,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Office of Elementary &amp; Secondary Education; Overview Information: Race to the Top Fund (ARRA)  CFDA 84.395,https://www.grants.gov/search-results-detail/49325,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Applied Mathematics,https://www.grants.gov/search-results-detail/358569,2025-11-17,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Gen-4 Engineering Research Centers,https://www.grants.gov/search-results-detail/354339,2025-07-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program",https://www.grants.gov/search-results-detail/357498,2026-03-03,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
"Coupling, Energetics, and Dynamics of Atmospheric Regions",https://www.grants.gov/search-results-detail/357105,2026-03-04,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
NSF Small Business Innovation Research / Small Business Technology Transfer Fast-Track Pilot Programs,https://www.grants.gov/search-results-detail/355009,2025-07-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Mid-scale Research Infrastructure-1,https://www.grants.gov/search-results-detail/356129,2025-06-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Findable Accessible Interoperable Reusable Open Science,https://www.grants.gov/search-results-detail/358036,2026-04-08,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Smart and Connected Communities,https://www.grants.gov/search-results-detail/357861,2025-11-10,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Cyber-Physical Systems,https://www.grants.gov/search-results-detail/354699,2025-06-02,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Launching Early-Career Academic Pathways in the Mathematical and Physical Sciences (LEAPS-MPS),https://www.grants.gov/search-results-detail/358335,2026-01-22,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Computational Mathematics,https://www.grants.gov/search-results-detail/278447,2025-12-01,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Occupational Safety and Health Research (R01),https://www.grants.gov/search-results-detail/305727,2025-11-21,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Combinatorics,https://www.grants.gov/search-results-detail/302273,2025-09-23,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Air Force Defense Research Sciences Conference and Workshop Support,https://www.grants.gov/search-results-detail/286437,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Environmental Engineering,https://www.grants.gov/search-results-detail/320490,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Foundations,https://www.grants.gov/search-results-detail/302270,2025-09-23,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Statistics,https://www.grants.gov/search-results-detail/302271,2025-12-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
NIOSH Exploratory/Developmental Grant Program (R21),https://www.grants.gov/search-results-detail/305594,2025-11-21,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
NRL WIDE BROAD AGENCY ANNOUNCEMENT,https://www.grants.gov/search-results-detail/292151,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
National Facilities,https://www.grants.gov/search-results-detail/275109,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Ocean Drilling Program,https://www.grants.gov/search-results-detail/254073,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Analysis,https://www.grants.gov/search-results-detail/325500,2025-09-30,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Renewable Energy Systems and Energy Efficiency Improvements Program,https://www.grants.gov/search-results-detail/279638,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
"Methodology, Measurement, and Statistics",https://www.grants.gov/search-results-detail/314743,2025-08-28,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Operations Engineering,https://www.grants.gov/search-results-detail/306167,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Engineering for Civil Infrastructure,https://www.grants.gov/search-results-detail/306169,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Engineering Design and Systems Engineering,https://www.grants.gov/search-results-detail/306170,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Biomechanics and Mechanobiology,https://www.grants.gov/search-results-detail/306171,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Mechanics of Materials and Structures,https://www.grants.gov/search-results-detail/306172,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Crosscutting Activities in Materials Research,https://www.grants.gov/search-results-detail/308873,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
NIOSH Small Research Grant Program,https://www.grants.gov/search-results-detail/305572,2025-11-21,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Advanced Manufacturing,https://www.grants.gov/search-results-detail/306824,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Algebra and Number Theory,https://www.grants.gov/search-results-detail/329325,2025-10-10,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
High-Risk Research in Biological Anthropology and Archaeology,https://www.grants.gov/search-results-detail/314126,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Administrative Supplements to Existing NIH Grants and Cooperative Agreements (Parent Admin Supp Clinical Trial Optional),https://www.grants.gov/search-results-detail/329395,2025-09-29,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
K01 Mentored Research Scientist Development Award,https://www.grants.gov/search-results-detail/305591,2025-11-21,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Law &amp; Science,https://www.grants.gov/search-results-detail/329432,2025-08-01,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Linguistics Program - Doctoral Dissertation Research Improvement Grants,https://www.grants.gov/search-results-detail/323597,2025-07-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"Future Scholars for Science, Technology, Engineering, and Mathematics (STEM) Workforce Development Programs",https://www.grants.gov/search-results-detail/327212,2025-06-17,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Biosensing,https://www.grants.gov/search-results-detail/320536,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021),https://www.grants.gov/search-results-detail/330175,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Mathematical Sciences Infrastructure Program,https://www.grants.gov/search-results-detail/328573,2025-08-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Molecular Mechanisms of Combination Adjuvants (MMCA) (R01 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/358158,2025-06-10,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
NIOSH Support for Conferences and Scientific Meetings (R13 Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/331065,2025-12-15,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Office of Elementary and Secondary Education (OESE): Project to Support America&rsquo;s Families and Educators (Project SAFE) Grant Program Assistance Listing Number (ALN) 84.184N,https://www.grants.gov/search-results-detail/335739,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
AHRQ Patient-Centered Outcomes Research (PCOR) Mentored Research Scientist Career Development Award (K01),https://www.grants.gov/search-results-detail/335151,2026-03-12,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Geospace Environment Modeling,https://www.grants.gov/search-results-detail/336931,2025-09-30,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
"Dynamics, Control and Systems Diagnostics",https://www.grants.gov/search-results-detail/339008,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Advancing Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (R41/R42 Clinical Trial Optional),https://www.grants.gov/search-results-detail/341325,2025-09-05,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Division of Chemistry: Disciplinary Research Programs: No Deadline Pilot,https://www.grants.gov/search-results-detail/341244,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
Large Research Projects for Combating Antibiotic-Resistant Bacteria (CARB) (R01),https://www.grants.gov/search-results-detail/334655,2026-10-30,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Large Research Projects for Prevention of Healthcare-Associated Infections (R01),https://www.grants.gov/search-results-detail/334065,2025-05-26,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Large Health Services Research Demonstration and Dissemination Projects for Combating Antibiotic-Resistant Bacteria (CARB)(R18),https://www.grants.gov/search-results-detail/334656,2026-10-30,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
Paleo Perspectives on Present and Projected Climate,https://www.grants.gov/search-results-detail/341714,2025-10-20,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Silvio O. Conte Centers for Basic Neuroscience or Translational Mental Health Research (P50 Clinical Trial Optional),https://www.grants.gov/search-results-detail/340764,2025-06-09,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2025
Facilities for Atmospheric Research and Education,https://www.grants.gov/search-results-detail/338558,Not specified,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),Not specified
AHRQ Patient-Centered Outcomes Research (PCOR) Mentored Clinical Scientist Career Development Award (K08),https://www.grants.gov/search-results-detail/335156,2026-03-12,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2026
AHRQ Mentored Clinical Scientist Research Career Development Award (K08),https://www.grants.gov/search-results-detail/343035,2027-02-13,Synopsis,Posted,Not listed,Grants.gov (Grants.gov),2027
