Title,URL,Deadline,Call For,Opportunity Status,Estimated Funding,Source,Year
ACTIVITY-DEPENDENT DEVELOPMENT OF NMDA RECEPTOR FUNCTION,https://reporter.nih.gov/project-details/1F32NS009569-01,Not specified,Research Grant,Awarded,"$21,600.00",NIH RePORTER,2023
Improving End-of-Life Care for Hospitalized Patients with Lewy Body Disorders,https://reporter.nih.gov/project-details/1K23AG086669-01,Not specified,Research Grant,Awarded,"$194,940.00",NIH RePORTER,2023
PHENCYCLIDINE & DELTA OPIOID BINDING IN RAT SPINAL CORD,https://reporter.nih.gov/project-details/5F32DA005309-03,Not specified,Research Grant,Awarded,"$7,000.00",NIH RePORTER,2023
Emotion coaching skills as an augmentation to family based therapy for adolescents with anorexia nervosa: A pilot study,https://reporter.nih.gov/project-details/1R34MH115897-01A1,Not specified,Research Grant,Awarded,"$263,882.00",NIH RePORTER,2023
The Lombard effect in muscle tension dysphonia: mechanistic and clinical characterization,https://reporter.nih.gov/project-details/1F31DC021863-01A1,Not specified,Research Grant,Awarded,"$39,382.00",NIH RePORTER,2023
EPIDEMIOLOGIC STUDY OF HEALTH RISK IN WOMEN (ESTHER),https://reporter.nih.gov/project-details/5M01RR000056-44,Not specified,Research Grant,Awarded,"$151,227.00",NIH RePORTER,2023
Psycho-physiological Influences on Physical Activity,https://reporter.nih.gov/project-details/5R01CA109895-02,Not specified,Research Grant,Awarded,"$297,346.00",NIH RePORTER,2023
EPI OF PHYSICAL ACTIVITY:  TEENAGE TO ADULT YEARS,https://reporter.nih.gov/project-details/3R01HD035607-04S1,Not specified,Research Grant,Awarded,"$22,638.00",NIH RePORTER,2023
CVD Risk Factors and Sexual Identity in Women,https://reporter.nih.gov/project-details/5R01HL067052-03,Not specified,Research Grant,Awarded,"$615,822.00",NIH RePORTER,2023
Optical probing of inhibitory circuits in visual cortex,https://reporter.nih.gov/project-details/1F32EY014094-01,Not specified,Research Grant,Awarded,"$36,592.00",NIH RePORTER,2023
Incorporation of newborn neurons in vocal learning,https://reporter.nih.gov/project-details/1R15NS123921-01,Not specified,Research Grant,Awarded,"$489,336.00",NIH RePORTER,2023
A CONFERENCE ON THE 'CRISIS' OF ACADEMIC MEDICAL CENTERS,https://reporter.nih.gov/project-details/1R13HS010108-01,Not specified,Research Grant,Awarded,"$30,000.00",NIH RePORTER,2023
Upgrade for time-correlated single photon counting fluorescence lifetime laser scanning confocal microscope,https://reporter.nih.gov/project-details/1S10OD025063-01A1,Not specified,Research Grant,Awarded,"$862,320.00",NIH RePORTER,2023
TECH R&D CORE SUPPORT FOR AIDS RESEARCH,https://reporter.nih.gov/project-details/2P41RR004050-21,Not specified,Research Grant,Awarded,"$62,654.00",NIH RePORTER,2023
Obesity and Diabetes as Mediators of Benign Prostatic Hyperplasia,https://reporter.nih.gov/project-details/5F31DK111186-02,Not specified,Research Grant,Awarded,"$40,885.00",NIH RePORTER,2023
Variation in Adoption of Evidence-Based and Patient Centered Care at the Delivery System Level,https://reporter.nih.gov/project-details/1R36HS028537-01A1,Not specified,Research Grant,Awarded,"$38,717.00",NIH RePORTER,2023
Adipsin from bone marrow fat as a regulator of bone remodeling,https://reporter.nih.gov/project-details/5F31DK124926-02,Not specified,Research Grant,Awarded,"$43,883.00",NIH RePORTER,2023
Optimizing pain-related outcomes following orthopedic trauma: testing novel risk factors and determining the feasibility of a new pain psychology intervention,https://reporter.nih.gov/project-details/5K23HD104934-02,Not specified,Research Grant,Awarded,"$181,488.00",NIH RePORTER,2023
Physicochemical Signaling in Osteoarthritis,https://reporter.nih.gov/project-details/5K24AR002128-08,Not specified,Research Grant,Awarded,"$157,989.00",NIH RePORTER,2023
IDENTIFICATION & TREATMENT OF OSTEONECROSIS OF THE HIP,https://reporter.nih.gov/project-details/5K24AR002128-02,Not specified,Research Grant,Awarded,"$105,292.00",NIH RePORTER,2023
EMF AND EARLY BONE DEVELOPMENT,https://reporter.nih.gov/project-details/3R01ES007402-04S1,Not specified,Research Grant,Awarded,"$60,257.00",NIH RePORTER,2023
IDENTIFICATION AND TREATMENT OF OSTEONECROSIS OF THE HIP,https://reporter.nih.gov/project-details/1K24AR002128-01,Not specified,Research Grant,Awarded,"$105,292.00",NIH RePORTER,2023
Physical Regulation of Skeletal Repair Workshop,https://reporter.nih.gov/project-details/1R13AR050033-01,Not specified,Research Grant,Awarded,"$18,000.00",NIH RePORTER,2023
REPLACE THE AUTOCLAVE IN BSL-3 FACILITY,https://reporter.nih.gov/project-details/5P51RR000164-44,Not specified,Research Grant,Awarded,"$300,000.00",NIH RePORTER,2023
ROLE OF THE THYMUS IN T CELL HOMEOSTASIS,https://reporter.nih.gov/project-details/5P51RR000164-44,Not specified,Research Grant,Awarded,"$54,500.00",NIH RePORTER,2023
TRAINING OF THREE VISITING SCIENTISTS FROM INDIA OR CHINA IN PRIMATOLOGY,https://reporter.nih.gov/project-details/5P51RR000164-44,Not specified,Research Grant,Awarded,"$240,000.00",NIH RePORTER,2023
"PRIMATE CAGES, AUTOCLAVE, PERIMETER FENCE, LAB SUPPLIES, & SERVICE CONTRACTS",https://reporter.nih.gov/project-details/5P51RR000164-44,Not specified,Research Grant,Awarded,"$606,109.00",NIH RePORTER,2023
Partners in Research,https://reporter.nih.gov/project-details/1R03HL096130-01,Not specified,Research Grant,Awarded,"$30,000.00",NIH RePORTER,2023
Russell County Partners In Prevention,https://reporter.nih.gov/project-details/5H79SP011621-10,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Leadership Development for Evidence Based Practice Implementation,https://reporter.nih.gov/project-details/1R21MH082731-01A1,Not specified,Research Grant,Awarded,"$209,093.00",NIH RePORTER,2023
Mixed-Methods Study of EBP Sustainment in a Statewide Service System,https://reporter.nih.gov/project-details/4R01MH072961-10,Not specified,Research Grant,Awarded,"$626,263.00",NIH RePORTER,2023
Interagency Collaborative Teams to Scale-up Evidence Based Practice,https://reporter.nih.gov/project-details/5R01MH092950-02,Not specified,Research Grant,Awarded,"$643,707.00",NIH RePORTER,2023
Testing the Leadership and Organizational Change for Implementation (LOCI) Intervention in Substance Abuse Treatment Programs,https://reporter.nih.gov/project-details/1R01DA038466-01A1,Not specified,Research Grant,Awarded,"$615,152.00",NIH RePORTER,2023
Mixed-Methods Study of a Statewide EBP Implementation,https://reporter.nih.gov/project-details/1R01MH072961-01A1,Not specified,Research Grant,Awarded,"$540,730.00",NIH RePORTER,2023
Dynamic Adaptation to Implement an Evidence-based Child Maltreatment Intervention,https://reporter.nih.gov/project-details/5R01CE001556-03,Not specified,Research Grant,Awarded,"$399,765.00",NIH RePORTER,2023
Development and Testing of an Evidence Based Intervention Sustainment Measure,https://reporter.nih.gov/project-details/1R03MH117493-01,Not specified,Research Grant,Awarded,"$78,521.00",NIH RePORTER,2023
ACCESS: Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services,https://reporter.nih.gov/project-details/5U01CA275118-03,Not specified,Research Grant,Awarded,"$665,464.00",NIH RePORTER,2023
ORGANIZATIONAL FACTORS IN YOUTH MENTAL HEALTH SERVICES,https://reporter.nih.gov/project-details/5K01MH001695-03,Not specified,Research Grant,Awarded,"$120,274.00",NIH RePORTER,2023
Statewide System and Organizational Strategy for Evidence-Based Practice Implementation and Sustainment in Substance Use Disorder Treatment,https://reporter.nih.gov/project-details/5R01DA049891-02,Not specified,Research Grant,Awarded,"$717,590.00",NIH RePORTER,2023
Concept Mapping of Readiness for Evidence-Based Practice,https://reporter.nih.gov/project-details/1R03MH070703-01A1,Not specified,Research Grant,Awarded,"$76,049.00",NIH RePORTER,2023
Applying After-Action Reviews to Child and Family Teams to Improve Mental Health Service Linkage within Child Welfare Services,https://reporter.nih.gov/project-details/5P50MH126231-02,Not specified,Research Grant,Awarded,"$178,990.00",NIH RePORTER,2023
Strengthening Research Administration Infrastructure for HIV Research in Nigeria,https://reporter.nih.gov/project-details/5G11TW011841-03,Not specified,Research Grant,Awarded,"$101,613.00",NIH RePORTER,2023
Center for Team Effectiveness to Accelerate EBP Implementation in Children's Mental Health Services: Methods Core,https://reporter.nih.gov/project-details/5P50MH126231-03,Not specified,Research Grant,Awarded,"$665,667.00",NIH RePORTER,2023
ROLE OF ONCOGENES IN NERVE GROWTH FACTOR'S ACTION,https://reporter.nih.gov/project-details/1K08NS001315-01,Not specified,Research Grant,Awarded,"$65,642.00",NIH RePORTER,2023
Establishing Relationships and Developing a Therapeutic Target for Impulsivity and Suicidality Among Veterans with Traumatic Brain Injury and Co-occurring Conditions,https://reporter.nih.gov/project-details/5IK1RX003082-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Neuromodulation for impulsivity and suicidality in Veterans with mildtraumatic brain injury and common co-occurring mental health conditions,https://reporter.nih.gov/project-details/5IK2RX004298-03,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
PERCEPTION AND MEMORY FOR VERBAL MATERIALS,https://reporter.nih.gov/project-details/5R01MH016496-20,Not specified,Research Grant,Awarded,"$116,194.00",NIH RePORTER,2023
PERCEPTION & MEMORY FOR VERBAL MATERIALS,https://reporter.nih.gov/project-details/5R01MH016496-15,Not specified,Research Grant,Awarded,"$80,486.00",NIH RePORTER,2023
RANDOMIZED EVALUATION OF VAD INTERVENTION BEFORE INTROPIC THERAPY (REVIVE-IT) PI,https://reporter.nih.gov/project-details/268201100026C-0-0-1,Not specified,Research Grant,Awarded,"$4,952,781.00",NIH RePORTER,2023
HAWTHORN FOR CONGESTIVE HEART FAILURE,https://reporter.nih.gov/project-details/1P50HL061202-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CLINICAL INDEX TO PREDICT SURVIVAL IN HEART FAILURE,https://reporter.nih.gov/project-details/5K08HL002829-04,Not specified,Research Grant,Awarded,"$79,639.00",NIH RePORTER,2023
Clinical Trial of Crataegus Oxycantha Extract in Chronic Heart Failure,https://reporter.nih.gov/project-details/5M01RR000042-44,Not specified,Research Grant,Awarded,"$31,515.00",NIH RePORTER,2023
NURSING FACTORS IN PREGNANCY HEALTH BEHAVIOR AND OUTCOME,https://reporter.nih.gov/project-details/1R01NU001207-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CONTRACTILE AND BIOCHEMICAL CHANGES IN DIAPHRAGM FATIGUE,https://reporter.nih.gov/project-details/1P20NR003270-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CAREGIVER FATIGUE AND AT RISK INFANTS AT HOME,https://reporter.nih.gov/project-details/5P20NR003270-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
FATIGUE AND METABOLIC CONTROL IN NON-INSULIN DEPENDEND DIABETES MELLITUS,https://reporter.nih.gov/project-details/1P20NR003270-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
NURSING FACTORS IN PREGNANCY HEALTH BEHAVIOR & OUTCOME,https://reporter.nih.gov/project-details/2R01NR001207-03,Not specified,Research Grant,Awarded,"$143,952.00",NIH RePORTER,2023
CORRELATES OF FATIGUE IN RHEUMATOID ARTHRITIS CLIENTS,https://reporter.nih.gov/project-details/5P20NR003270-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CENTER FOR BIOBEHAVIORAL STUDIES OF FATIGUE MANAGEMENT,https://reporter.nih.gov/project-details/5P20NR003270-03,Not specified,Research Grant,Awarded,"$125,001.00",NIH RePORTER,2023
SPHINGOLIPIDS & HOMEOVISCOUS ADAPTATION IN NEUROSPORA,https://reporter.nih.gov/project-details/1R15GM045966-01,Not specified,Research Grant,Awarded,"$92,423.00",NIH RePORTER,2023
BIOGENESIS OF THE NEUROSPORA PLASMA MEMBRANE H+-ATPASE,https://reporter.nih.gov/project-details/5F32GM010372-02,Not specified,Research Grant,Awarded,"$20,004.00",NIH RePORTER,2023
MG AND E-C COUPLING IN NORMO- AND HYPERTENSIVE ARTERIES,https://reporter.nih.gov/project-details/1R23HL032773-01,Not specified,Research Grant,Awarded,"$57,309.00",NIH RePORTER,2023
FUNCTIONAL CHARACTERIZATION OF CYTOPLASMIC DOMAIN OF ALPHAPDGF RECEPTOR,https://reporter.nih.gov/project-details/1Z01CP005644-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
TRANSFORMING GENES IN EXPERIMENTAL ONCOGENESIS AND HUMAN CANCER,https://reporter.nih.gov/project-details/1Z01CP004940-26,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CHARACTERIZATION OF THE GROWTH-ARRESTING PROPERTIES OF THE MYOD GENE,https://reporter.nih.gov/project-details/1Z01CP005628-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
VIRUSES AND TRANSFORMING GENES IN EXPERIMENTAL ONCOGENESIS AND HUMAN CANCER,https://reporter.nih.gov/project-details/1Z01CP004940-21,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
GENE ORGANIZATION OF EQUINE INFECTIOUS ANEMIA VIRUS,https://reporter.nih.gov/project-details/1Z01CP005458-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
STRUCTURAL AND FUNCTIONAL CHARACTERIZATION OF RAS P21 PROTEINS,https://reporter.nih.gov/project-details/1Z01CP005459-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CHARACTERIZATION OF FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAYS,https://reporter.nih.gov/project-details/1Z01CP005626-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
NEW CLONING SYSTEM FOR TUMOR SUPPRESSOR/GROWTH INHIBITORY GENES,https://reporter.nih.gov/project-details/1Z01CP005737-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
THE USE OF EXPRESSION CLONING TECHNIQUE IN STUDYING HUMAN TUMOR CELLS,https://reporter.nih.gov/project-details/1Z01CP005627-04,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
STRUCTURE-FUNCTION STUDIES OF THE PLATELET-DERIVED GROWTH FACTOR AND RECEPTOR,https://reporter.nih.gov/project-details/1Z01CP005736-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
ONCOGENIC ACTIVATION OF EGF RECEPTOR AND RELATED GENES,https://reporter.nih.gov/project-details/1Z01CP005457-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
MECHANISMS OF ONCOGENE ACTIVATION IN HUMAN TUMORS,https://reporter.nih.gov/project-details/1Z01CP005366-03,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
ANALYSIS OF PDGF RECEPTOR ROLE IN NEOPLASTIC TRANSFORMATION,https://reporter.nih.gov/project-details/1Z01CP005514-04,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
AUTOCRINE MECHANISM FOR V-SIS TRANSFORMATION,https://reporter.nih.gov/project-details/1Z01CP005598-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
